"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1600000US2537000","Lowell city, Massachusetts","113594","52",
"1600000US2537490","Lynn city, Massachusetts","100892","35",
"1600000US2537875","Malden city, Massachusetts","64718","30",
"1600000US2539835","Medford city, Massachusetts","65412","51",
"1600000US2545000","New Bedford city, Massachusetts","100676","36",
"1600000US2545560","Newton city, Massachusetts","87382","27",
"1600000US2555745","Quincy city, Massachusetts","101716","46",
"1600000US2562535","Somerville city, Massachusetts","79761","26",
"1600000US2567000","Springfield city, Massachusetts","154058","27",
"1600000US2582000","Worcester city, Massachusetts","205317","35",
"1600000US2603000","Ann Arbor city, Michigan","119871","36",
"1600000US2621000","Dearborn city, Michigan","107712","34",
"1600000US2622000","Detroit city, Michigan","620410","48",
"1600000US2627440","Farmington Hills city, Michigan","82738","28",
"1600000US2629000","Flint city, Michigan","79865","44",
"1600000US2634000","Grand Rapids city, Michigan","196904","35",
"1600000US2642160","Kalamazoo city, Michigan","72883","39",
"1600000US2646000","Lansing city, Michigan","112963","1865",
"1600000US2649000","Livonia city, Michigan","93786","42",
"1600000US2659440","Novi city, Michigan","66375","31",
"1600000US2669035","Rochester Hills city, Michigan","75947","63",
"1600000US2674900","Southfield city, Michigan","75454","47",
"1600000US2676460","Sterling Heights city, Michigan","132554","53",
"1600000US2680700","Troy city, Michigan","87182","62",
"1600000US2684000","Warren city, Michigan","137111","39",
"1600000US2686000","Westland city, Michigan","84023","51",
"1600000US2688940","Wyoming city, Michigan","76730","31",
"1600000US2706382","Blaine city, Minnesota","71738","23",
"1600000US2706616","Bloomington city, Minnesota","87799","28",
"1600000US2707966","Brooklyn Park city, Minnesota","83319","35",
"1600000US2717000","Duluth city, Minnesota","86615","25",
"1600000US2717288","Eagan city, Minnesota","67526","39",
"1600000US2735180","Lakeville city, Minnesota","74551","29",
"1600000US2740166","Maple Grove city, Minnesota","70588","32",
"1600000US2743000","Minneapolis city, Minnesota","425104","49",
"1600000US2751730","Plymouth city, Minnesota","78669","55",
"1600000US2754880","Rochester city, Minnesota","121894","61",
"1600000US2756896","St. Cloud city, Minnesota","69813","2376",
"1600000US2758000","St. Paul city, Minnesota","303160","57",
"1600000US2771428","Woodbury city, Minnesota","78560","24",
"1600000US2829700","Gulfport city, Mississippi","72228","35",
"1600000US2836000","Jackson city, Mississippi","146019","152",
"1600000US2915670","Columbia city, Missouri","128545","41",
"1600000US2935000","Independence city, Missouri","121211","44",
"1600000US2938000","Kansas City city, Missouri","509247","115",
"1600000US2941348","Lee's Summit city, Missouri","104336","1057",
"1600000US2954074","O'Fallon city, Missouri","93648","61",
"1600000US2964082","St. Charles city, Missouri","71190","32",
"1600000US2964550","St. Joseph city, Missouri","70682","2043",
"1600000US2965000","St. Louis city, Missouri","286578","*****",
"1600000US2970000","Springfield city, Missouri","170062","29",
"1600000US3006550","Billings city, Montana","119969","41",
"1600000US3050200","Missoula city, Montana","76960","29",
"1600000US3128000","Lincoln city, Nebraska","292623","23",
"1600000US3137000","Omaha city, Nebraska","485146","45",
"1600000US3223770","Enterprise CDP, Nevada","231446","13942",
"1600000US3231900","Henderson city, Nevada","331408","41",
"1600000US3240000","Las Vegas city, Nevada","656302","113",
"1600000US3251800","North Las Vegas city, Nevada","280539","38",
"1600000US3254600","Paradise CDP, Nevada","183321","11119",
"1600000US3260600","Reno city, Nevada","273447","41",
"1600000US3268400","Sparks city, Nevada","109227","36",
